trait,stat,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021
P,range,0.33 - 0.35,0.3 - 0.31,0.33 - 0.36,0.34 - 0.38,0.3 - 0.32,0.31 - 0.31,0.31 - 0.32,0.29 - 0.3,0.33 - 0.36,0.31 - 0.32,0.32 - 0.33
P,cv,0.0120,0.0049,0.0135,0.0186,0.0091,0.0048,0.0053,0.0084,0.0140,0.0055,0.0083
P,Check_201,0.33,0.30,0.34,0.36,0.32,0.31,0.31,0.29,0.34,0.31,0.32
P,Check_202,0.34,0.31,0.35,0.36,0.32,0.32,0.32,0.30,0.35,0.32,0.33
Starch,mean,1.3 ±0.012,1.52 ±0.019,0.93 ±0.039,0.42 ±0.083,0.39 ±0.101,1.45 ±0.014,1.03 ±0.03,2.73 ±0.124,1.3 ±0.011,2.38 ±0.092,6.82 ±0.539
Starch,range,1.27 - 1.36,1.48 - 1.59,0.82 - 1.12,0.15 - 0.79,0.15 - 0.88,1.42 - 1.5,0.95 - 1.18,2.28 - 3.17,1.27 - 1.36,2.05 - 2.71,5.04 - 8.6
Starch,cv,0.0089,0.0124,0.0418,0.1987,0.2614,0.0097,0.0296,0.0452,0.0088,0.0388,0.0791
Starch,Check_201,1.28,1.51,0.90,0.38,0.29,1.43,1.00,2.74,1.28,2.38,6.63
Starch,Check_202,1.29,1.48,0.98,0.56,0.48,1.42,1.07,2.49,1.29,2.19,5.69
WSC,mean,6.77 ±0.063,6.8 ±0.147,9.9 ±0.091,6.4 ±0.314,6.36 ±0.083,8.47 ±0.022,9.04 ±0.049,7.84 ±0.013,7.99 ±0.008,9.96 ±0.095,12.25 ±0.324
WSC,range,6.61 - 6.97,6.39 - 7.42,9.61 - 10.12,5.71 - 7.83,6.16 - 6.63,8.41 - 8.52,8.89 - 9.16,7.81 - 7.88,7.97 - 8.01,9.66 - 10.2,11.39 - 13.13
WSC,cv,0.0093,0.0216,0.0092,0.0491,0.0131,0.0026,0.0054,0.0016,0.0010,0.0096,0.0264
WSC,Check_201, 6.75, 6.72, 9.83, 6.32, 6.35, 8.43, 8.99, 7.81, 7.95, 9.85,12.21
WSC,Check_202, 6.91, 7.27, 9.71, 6.87, 6.54, 8.43, 8.94, 7.87, 8.00, 9.74,11.76
