env,ID_2018,ID_2018,ID_2018,ID_2019,ID_2019,ID_2019,ID_2020,ID_2020,ID_2020,OR_2018,OR_2018,OR_2018,OR_2019,OR_2019,OR_2019,OR_2020,OR_2020,OR_2020,OR_2021,OR_2021,OR_2021,WA_2018,WA_2018,WA_2018,WA_2019,WA_2019,WA_2019,WA_2020,WA_2020,WA_2020,WA_2021,WA_2021,WA_2021
trait,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2,V_G,V_R,H2
Starch,1.746,2.000,0.170,1.419,1.935,1.887,1.837,1.769,1.657,2.057,3.928,,,,,,,,,,,,,,,,,,,,,,
WSC,1.118,0.319,1.965,1.854,0.405,1.724,2.252,1.751,0.920,1.012,1.353,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trait,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021,,,,,,,,,,,,,,,,,,,,,,
ADF,0.524,0.297,0.107,0.203,0.183,0.019,0.337,0.194,0.365,0.163,0.812,,,,,,,,,,,,,,,,,,,,,,
ADICP,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
aNDF,0.585,0.225,0.116,0.834,0.210,0.023,0.350,0.217,0.367,0.151,0.856,,,,,,,,,,,,,,,,,,,,,,
Ash,0.000,0.297,0.218,0.012,0.000,0.030,0.024,0.000,0.000,0.519,0.000,,,,,,,,,,,,,,,,,,,,,,
Ca,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,,,,,,,,,,,,,,,,,,,,,,
CP,0.265,0.222,0.049,0.211,0.772,0.014,0.141,0.213,0.434,0.070,0.583,,,,,,,,,,,,,,,,,,,,,,
DM,0.000,0.037,0.074,0.003,0.001,0.025,0.005,0.015,0.000,0.112,0.004,,,,,,,,,,,,,,,,,,,,,,
ESC,0.187,0.440,0.017,0.104,0.000,0.000,0.028,0.037,0.000,0.748,0.233,,,,,,,,,,,,,,,,,,,,,,
Fat,0.005,0.002,0.003,0.004,0.002,0.000,0.005,0.005,0.000,0.003,0.000,,,,,,,,,,,,,,,,,,,,,,
K,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.034,0.011,,,,,,,,,,,,,,,,,,,,,,
Lignin,0.028,0.042,0.032,0.026,0.029,0.000,0.061,0.034,0.000,0.035,0.131,,,,,,,,,,,,,,,,,,,,,,
Mg,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.004,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
NDICP,0.005,0.000,0.008,0.009,0.000,0.000,0.000,0.000,0.000,0.051,0.070,,,,,,,,,,,,,,,,,,,,,,
P,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,,,,,,,,,,,,,,,,,,,,,,
Starch,0.000,0.003,0.083,0.014,0.024,0.000,0.027,0.066,0.000,0.279,0.508,,,,,,,,,,,,,,,,,,,,,,
WSC,0.037,0.388,0.004,0.095,0.216,0.001,0.036,0.012,0.000,0.413,0.233,,,,,,,,,,,,,,,,,,,,,,
