gen,ADF,ADICP,aNDF,Ash,Ca,CP,DM,ESC,Fat,K,Lignin,Mg,NDICP,P,Starch,WSC
37,30.2968324624381,0.548369263283467,35.4084250652929,9.4425827224634,1.15803551487583,21.7874514177964,94.5896959739606,6.20623310142173,1.38874707395023,0.605486967020574,6.07735948473418,0.572978361941855,0.919013109420962,0.843936548259972,1.534620606941,7.91046407611798
38,30.7561397165235,0.546899595009656,36.0381372384663,9.42129269085542,1.16761523602427,21.5613125458639,94.5727126619653,6.19664143162136,1.39950439032587,0.605148051098409,6.15107861345161,0.571551151870415,0.91585564424051,0.766559887759402,1.50214531388609,7.9010494251576
39,30.5305809544186,0.545586780610086,35.6956334667187,9.42355136715218,1.16440128382318,21.6325043191227,94.5824007038667,6.20277947429261,1.40424596151366,0.607987389963025,6.09608549059359,0.572672533016736,0.918672153023547,0.870664788826541,1.53275217722804,7.88842697310099
40,30.4022323721951,0.542796325382805,35.5039066023012,9.45285115622264,1.16232961738386,21.6135458352313,94.5822676411924,6.20131723945238,1.41225275387278,0.607704636316274,6.05602276944249,0.573938613552392,0.911888753952159,0.761674970641801,1.51625687758727,7.90237310933331
41,30.7651223654845,0.546798125378764,35.9285909147866,9.42877388037268,1.16130050212166,21.4581936440122,94.5648114639219,6.19684292112067,1.39121811552327,0.606743091364418,6.13136858446706,0.569568442033019,0.918488887947925,0.740457362335755,1.53981407166495,7.9018958924071
42,30.4795253455889,0.539537664067022,35.6188861298418,9.43255859947227,1.16347587383258,21.7783679198314,94.5773473995181,6.20515324962067,1.37326246857171,0.606914410922971,6.01567407102699,0.574905424966659,0.916556248382426,0.752844740569405,1.51814669972367,7.91036180171471
43,30.3508914725402,0.545258735632544,35.4838042197551,9.4245673665715,1.16753654138878,21.7603533730979,94.5850178331328,6.20547798461097,1.3933317049957,0.607363503339409,5.97918664981966,0.572673540384715,0.916808500342269,0.838537958811622,1.53928360305433,7.91573417774058
44,30.4045030314035,0.545695668363653,35.647018039533,9.46692651139583,1.1535289308533,21.688551593293,94.5859655720341,6.21249613875786,1.43010100047118,0.605248213845554,6.05180245541183,0.574342292914007,0.914716938655763,0.775942041217434,1.52835450717023,7.91584587046802
45,30.5698006331086,0.547346035853316,35.7042163105072,9.45979402074465,1.15918385153208,21.5846471195848,94.5839885600286,6.20533558454789,1.42621892273296,0.607713416403401,6.08639577284287,0.570738478703734,0.916548146672567,0.781772068662428,1.5563913360192,7.90888433767184
46,30.3702172218614,0.544663959431362,35.5773669712681,9.42378070486596,1.17119618451309,21.6964786633231,94.5764944924034,6.20426763571973,1.37377961144307,0.608992581928491,6.01593731812306,0.575468315873434,0.918887102344714,0.786629232948066,1.52479981922667,7.92235036471133
47,30.3992349576394,0.544469782292449,35.7453181740181,9.41635346217791,1.16280902240504,21.5603951199336,94.5783609973187,6.21954189143069,1.38267505697235,0.605965705661211,6.02844976838244,0.573356597922989,0.914884698962976,0.735571033140685,1.55933015509811,7.92250388592498
48,30.8019789617082,0.546778195696388,36.0382598161675,9.43918534161279,1.16657266137307,21.4743646932509,94.5841910612679,6.21259307548385,1.40219644738334,0.607184433349819,6.14894598158495,0.571743703547469,0.919687331683781,0.780107157434999,1.54689362082298,7.89764810126465
49,30.6381418340185,0.54943411278343,35.9234740410219,9.45824439508348,1.15588803600161,21.5353869577985,94.5926735505264,6.21072806090967,1.38773480122609,0.60545237868407,6.0437545563527,0.571829259492598,0.916262345222761,0.794144089035802,1.53922714443152,7.91758058911947
50,30.2695288431302,0.542570071521383,35.5349424498947,9.44841096030719,1.16262858959704,21.6677631879275,94.5775929302248,6.20533229878164,1.40672872049013,0.607672881244432,6.02478789433429,0.571926366263302,0.913812164735397,0.825247666237733,1.54008094690219,7.89928554577894
51,30.7582936904127,0.541453687412929,35.9557119893091,9.43330346302455,1.16744193620458,21.368080385609,94.5719681868024,6.2098977659546,1.42643426316372,0.606166637911465,6.08316953779792,0.570868437104589,0.913530151539051,0.731125228073509,1.54550058992184,7.91046513687773
52,30.8006069326617,0.544326057707094,36.0407053291528,9.42893857012723,1.15885968837639,21.4338427336327,94.5828841438881,6.21374091162524,1.39070670876597,0.606026191414479,6.09572694783419,0.571245422463405,0.918218406542593,0.762817064195873,1.54225006328803,7.91341318768038
53,30.2308862660176,0.541194740121336,35.5128744155298,9.47209283890404,1.161380958092,21.6655384817278,94.5767803501008,6.2174654038491,1.36015513309922,0.604558164376104,6.00390052208019,0.573229280445208,0.914847325693733,0.758729033204795,1.50670461468047,7.91541528186329
