trait,stat,ID_2018,ID_2019,ID_2020,OR_2018,OR_2019,OR_2020,OR_2021,WA_2018,WA_2019,WA_2020,WA_2021
P,202_range,0.34 - 0.39,0.29 - 0.35,0.34 - 0.37,0.35 - 0.42,0.3 - 0.34,0.3 - 0.38,0.27 - 0.36,0.28 - 0.33,0.31 - 0.34,0.28 - 0.34,0.3 - 0.36
P,202_cv,0.0503,0.0553,0.0278,0.0647,0.0405,0.0720,0.0970,0.0493,0.0283,0.0657,0.0586
Starch,new_mean,0.85 ±0.202,1.08 ±0.297,0.47 ±0.341,1.48 ±0.481,1.43 ±0.326,2.5 ±0.751,2.07 ±0.677,2.02 ±0.599,0.67 ±0.245,1.78 ±1.109,6.23 ±2.214
Starch,new_range,0.39 - 1.57,0.25 - 1.87,0 - 1.82,0.4 - 2.93,0.83 - 2.71,1.02 - 5.04,0.74 - 4.34,0.49 - 3.92,0.25 - 1.41,0.18 - 8.12,1.88 - 11.79
Starch,new_cv,0.2375,0.2763,0.7306,0.3256,0.2276,0.2999,0.3267,0.2968,0.3671,0.6246,0.3556
Starch,201_mean,0.88 ±0.228,1.18 ±0.265,0.31 ±0.296,1.33 ±0.423,1.34 ±0.219,2.41 ±0.804,1.79 ±0.618,1.69 ±0.498,0.68 ±0.199,1.6 ±0.976,5.68 ±1.819
Starch,201_range,0.71 - 1.5,0.71 - 1.61,0 - 0.95,0.71 - 1.97,0.9 - 1.66,1.53 - 4.01,0.92 - 3.01,0.95 - 2.66,0.27 - 0.91,0.71 - 3.69,3.01 - 7.92
Starch,201_cv,0.2599,0.2245,0.9397,0.3178,0.1642,0.3330,0.3455,0.2953,0.2936,0.6091,0.3200
Starch,202_mean,0.86 ±0.24,1.06 ±0.326,0.56 ±0.347,1.74 ±0.607,1.48 ±0.312,2.63 ±0.802,1.92 ±0.538,1.88 ±0.375,0.71 ±0.233,1.27 ±0.658,4.84 ±1.565
Starch,202_range,0.62 - 1.4,0.38 - 1.46,0 - 1.13,0.79 - 2.84,0.93 - 1.93,0.98 - 3.75,1.1 - 2.71,1.35 - 2.6,0.34 - 1.28,0 - 2.23,2.64 - 7.96
Starch,202_cv,0.2780,0.3089,0.6154,0.3484,0.2109,0.3044,0.2808,0.1988,0.3284,0.5196,0.3233
WSC,new_mean,6.99 ±0.64,7.02 ±0.446,10.15 ±0.477,6.94 ±0.521,6.89 ±0.487,9 ±0.592,9.56 ±0.665,7.03 ±0.419,7.22 ±0.338,9.19 ±0.737,11.5 ±0.707
WSC,new_range,5.28 - 8.24,5.95 - 8.92,8.94 - 11.35,5.79 - 9.38,5.31 - 8.39,7.27 - 10.77,7.86 - 11.36,6.03 - 8.17,6.3 - 8.07,7.67 - 11.2,9.92 - 13.57
WSC,new_cv,0.0916,0.0635,0.0470,0.0751,0.0707,0.0658,0.0696,0.0595,0.0468,0.0801,0.0615
WSC,201_mean,6.88 ±0.704,6.9 ±0.401,10.02 ±0.537,6.84 ±0.363,6.83 ±0.371,8.82 ±0.63,9.18 ±0.68,6.84 ±0.444,7.22 ±0.308,8.75 ±0.5,11.43 ±0.499
WSC,201_range,5.9 - 7.66,6.05 - 7.52,9.42 - 11.13,6.17 - 7.58,6.22 - 7.42,7.49 - 9.87,8.46 - 10.66,6.32 - 7.65,6.89 - 7.96,8.09 - 9.64,10.53 - 12.08
WSC,201_cv,0.1024,0.0581,0.0536,0.0530,0.0542,0.0714,0.0740,0.0649,0.0427,0.0571,0.0437
WSC,202_mean,7.08 ±0.646,7.58 ±0.343,10.26 ±0.558,7.45 ±0.297,7.14 ±0.424,9.21 ±0.644,9.76 ±0.465,7.27 ±0.483,7.28 ±0.442,8.76 ±0.646,10.96 ±0.427
WSC,202_range,5.74 - 7.98,7.18 - 8.05,9.54 - 11.32,7.05 - 8.09,6.35 - 7.77,8.2 - 10.33,9.11 - 10.6,6.72 - 8.35,6.46 - 7.88,8.09 - 9.99,10.1 - 11.53
WSC,202_cv,0.0912,0.0452,0.0543,0.0399,0.0594,0.0699,0.0476,0.0665,0.0608,0.0737,0.0389
aNDF,new_mean,32.03 ±1.496,38.23 ±1.955,28.63 ±1.943,38.91 ±2.126,42.68 ±2.116,40.61 ±2.774,36.99 ±2.467,41.25 ±2.108,40.31 ±2.062,37.46 ±2.692,28.83 ±2.499
aNDF,new_range,28.41 - 36.38,30.71 - 47.56,23.84 - 39.22,33.76 - 48.62,36.19 - 49.04,31.9 - 47.98,30.12 - 44.11,36.43 - 47.11,35.63 - 45.47,29.71 - 44.6,22.78 - 35.76
aNDF,new_cv,0.0467,0.0511,0.0679,0.0546,0.0496,0.0683,0.0667,0.0511,0.0512,0.0719,0.0867
aNDF,201_mean,32.25 ±0.892,40.01 ±1.569,30.6 ±3.183,39.87 ±2.23,43.18 ±2.723,41.35 ±2.684,38.67 ±2.068,42.62 ±1.963,41.36 ±2.013,40.23 ±2.9,30.1 ±1.525
aNDF,201_range,30.99 - 34.03,38.27 - 42.22,27.63 - 39.22,36.71 - 42.89,39.4 - 46.87,35.87 - 44.67,35.73 - 41.82,40.19 - 47.11,37.55 - 45.47,35.89 - 44.29,27.79 - 32.84
aNDF,201_cv,0.0277,0.0392,0.1040,0.0559,0.0631,0.0649,0.0535,0.0461,0.0487,0.0721,0.0507
aNDF,202_mean,31.6 ±1.596,37.25 ±2.016,28.51 ±1.548,36.73 ±1.803,40.7 ±1.34,39.39 ±2.802,35.74 ±2.428,39.81 ±2.009,40.16 ±0.931,37.01 ±3.684,28.36 ±1.387
aNDF,202_range,29.01 - 33.61,34.97 - 42.13,26.64 - 30.57,33.79 - 39.41,37.48 - 42.61,34.62 - 42.16,32.42 - 39.97,35.71 - 42.74,38.87 - 41.77,27.49 - 41.27,25.97 - 30.29
aNDF,202_cv,0.0505,0.0541,0.0543,0.0491,0.0329,0.0711,0.0679,0.0505,0.0232,0.0995,0.0489
