"trait","comp","diff","lwr.ci","upr.ci","pval","loc"
"ESC","N_31-C_2011",-1.97542694751271,-5.35066852355349,1.39981462852808,0.839581838163977,"OR"
"ESC","N_32-C_2011",1.03881583583669,-2.3364257402041,4.41405741187748,0.999999999941718,"OR"
"ESC","N_33-C_2011",-1.06815725319603,-4.44339882923682,2.30708432284476,0.999999999603976,"OR"
"ESC","N_34-C_2011",-1.35901596634353,-4.73425754238432,2.01622560969725,0.999936536892628,"OR"
"ESC","N_35-C_2011",-2.20244011813006,-5.57768169417085,1.17280145791073,0.650646326534724,"OR"
"ESC","N_36-C_2011",-3.87854402239381,-7.2537855984346,-0.503302446353018,0.00960878266204956,"OR"
"ESC","N_37-C_2011",-1.2427314543474,-4.61797303038819,2.13251012169339,0.999998400878038,"OR"
"ESC","N_38-C_2011",-1.08975258387189,-4.46499415991268,2.2854889921689,0.999999998510304,"OR"
"ESC","N_39-C_2011",-0.934971952011175,-4.31021352805196,2.44026962402961,0.999999999999971,"OR"
"ESC","N_4-C_2011",1.86030131245884,-1.51494026358195,5.23554288849963,0.914745536734877,"OR"
"ESC","N_40-C_2011",-1.78474936618854,-5.15999094222932,1.59049220985225,0.951343023922738,"OR"
"ESC","N_41-C_2011",-1.73230915328373,-5.10755072932452,1.64293242275706,0.968711915253473,"OR"
"ESC","N_42-C_2011",-1.83780781377251,-5.2130493898133,1.53743376226828,0.927907984726707,"OR"
"ESC","N_43-C_2011",1.38681465983998,-1.98842691620081,4.76205623588077,0.999865141467727,"OR"
"ESC","N_44-C_2011",-0.069977589157368,-3.44521916519816,3.30526398688342,1,"OR"
"ESC","N_45-C_2011",-0.099734990312875,-3.47497656635366,3.27550658572791,1,"OR"
"ESC","N_46-C_2011",-1.66151652345965,-5.03675809950044,1.71372505258114,0.984968735419329,"OR"
"ESC","N_47-C_2011",-2.40475231159797,-5.77999388763876,0.970489264442822,0.477160830513355,"OR"
"ESC","N_48-C_2011",-0.107654326338839,-3.48289590237963,3.26758724970195,1,"OR"
"ESC","N_49-C_2011",-1.27287749602808,-4.64811907206887,2.10236408001271,0.999995454261649,"OR"
"ESC","N_5-C_2011",-2.15960239033443,-5.53484396637522,1.21563918570636,0.686711513895472,"OR"
"ESC","N_50-C_2011",-0.137562056471687,-3.51280363251248,3.2376795195691,1,"OR"
"ESC","N_51-C_2011",-1.31445187826803,-4.68969345430882,2.06078969777276,0.999981979889898,"OR"
"ESC","N_52-C_2011",0.201439269167288,-3.1738023068735,3.57668084520808,1,"OR"
"ESC","N_53-C_2011",1.56618002853948,-1.8090615475013,4.94142160458027,0.995733614923456,"OR"
"ESC","N_54-C_2011",-0.310694085515316,-3.6859356615561,3.06454749052547,1,"OR"
"ESC","N_55-C_2011",0.211178016563032,-3.16406355947776,3.58641959260382,1,"OR"
"ESC","N_56-C_2011",1.08944530633848,-2.28579626970231,4.46468688237927,0.999999998563408,"OR"
"ESC","N_57-C_2011",-1.99573228802426,-5.37097386406505,1.37950928801652,0.826620393432271,"OR"
"ESC","N_58-C_2011",-4.64031107780342,-8.01555265384421,-1.26506950176264,0.000503689287631226,"OR"
"ESC","N_59-C_2011",-1.3399339370494,-4.71517551309019,2.03530763899139,0.99996227257383,"OR"
"ESC","N_6-C_2011",1.66175954406807,-1.71348203197272,5.03700112010886,0.985316147309084,"OR"
"ESC","N_60-C_2011",-0.580064874288333,-3.95530645032912,2.79517670175246,1,"OR"
"ESC","N_61-C_2011",-2.11594359872047,-5.49118517476126,1.25929797732032,0.726139781120656,"OR"
"ESC","N_62-C_2011",-1.38526193092145,-4.76050350696224,1.98997964511934,0.999872487833764,"OR"
"ESC","N_63-C_2011",-1.27781198746606,-4.65305356350685,2.09742958857473,0.999994087790906,"OR"
"ESC","N_64-C_2011",-1.9489266066638,-5.32416818270459,1.42631496937699,0.859805786474731,"OR"
"ESC","N_65-C_2011",-1.50568624053854,-4.88092781657933,1.86955533550225,0.998421817179391,"OR"
"ESC","N_66-C_2011",2.21610208550447,-1.15913949053632,5.59134366154526,0.637208121984389,"OR"
"ESC","N_67-C_2011",-0.914359231222271,-4.28960080726306,2.46088234481852,0.999999999999997,"OR"
"ESC","N_68-C_2011",1.35207804913241,-2.02316352690838,4.7273196251732,0.999948132589117,"OR"
"ESC","N_69-C_2011",3.16881021037821,-0.206431365662578,6.544051786419,0.0890695368405725,"OR"
"ESC","N_7-C_2011",-0.935762054703275,-4.31100363074406,2.43947952133751,0.999999999999967,"OR"
"ESC","N_70-C_2011",0.276797011885186,-3.0984445641556,3.65203858792598,1,"OR"
"ESC","N_71-C_2011",0.165824845395115,-3.20941673064567,3.5410664214359,1,"OR"
"ESC","N_72-C_2011",2.29300964560066,-1.08223193044013,5.66825122164144,0.570554979749668,"OR"
"ESC","N_73-C_2011",0.228624207530778,-3.14661736851001,3.60386578357157,1,"OR"
"ESC","N_74-C_2011",-1.79085321671514,-5.16609479275593,1.58438835932565,0.948575046762364,"OR"
"ESC","N_75-C_2011",-3.81987480281244,-7.19511637885323,-0.44463322677165,0.0118182436712706,"OR"
"ESC","N_76-C_2011",-1.7234006825522,-5.09864225859299,1.65184089348859,0.971142791723754,"OR"
"ESC","N_77-C_2011",-0.997418983751871,-4.37266055979266,2.37782259228892,0.999999999996069,"OR"
"ESC","N_78-C_2011",-2.1205861393493,-5.49582771539009,1.25465543669149,0.721676056102352,"OR"
"ESC","N_79-C_2011",0.318098230159883,-3.05714334588091,3.69333980620067,1,"OR"
"ESC","N_8-C_2011",2.09695450056142,-1.27828707547937,5.47219607660221,0.741844380962189,"OR"
"ESC","N_80-C_2011",1.74379820050026,-1.63144337554053,5.11903977654105,0.965368900657873,"OR"
"ESC","N_81-C_2011",0.878344891386824,-2.49689668465397,4.25358646742761,1,"OR"
"ESC","N_82-C_2011",-0.538993777645267,-3.91423535368606,2.83624779839552,1,"OR"
"ESC","N_83-C_2011",0.857514034507211,-2.51772754153358,4.232755610548,1,"OR"
"ESC","N_84-C_2011",0.981230153923043,-2.39401142211775,4.35647172996383,0.999999999998277,"OR"
"ESC","N_85-C_2011",-2.66769402898895,-6.04293560502974,0.707547547051835,0.292631265615094,"OR"
"ESC","N_86-C_2011",-1.01011369027274,-4.38535526631353,2.36512788576805,0.999999999990374,"OR"
"ESC","N_87-C_2011",-0.0273522429830493,-3.40259381902384,3.34788933305774,1,"OR"
"ESC","N_88-C_2011",-1.71232410354116,-5.08756567958195,1.66291747249963,0.97401618143309,"OR"
"ESC","N_89-C_2011",-0.575316128548685,-3.95055770458947,2.7999254474921,1,"OR"
"ESC","N_9-C_2011",2.5944427839215,-0.780798792119288,5.96968435996229,0.337756430684872,"OR"
"ESC","N_90-C_2011",-1.51018248854829,-4.88542406458908,1.8650590874925,0.998267307907853,"OR"
"ESC","N_91-C_2011",-0.996918197619813,-4.3721597736606,2.37832337842098,0.999999999993873,"OR"
"ESC","N_92-C_2011",0.454864896567322,-2.92037667947347,3.83010647260811,1,"OR"
"ESC","N_93-C_2011",2.12471242561438,-1.25052915042641,5.49995400165517,0.717789580656684,"OR"
"ESC","N_94-C_2011",-0.486612317476023,-3.86185389351681,2.88862925856477,1,"OR"
"ESC","N_95-C_2011",-3.0024244752263,-6.37766605126709,0.37281710081449,0.137734496747082,"OR"
"ESC","N_96-C_2011",-3.55817516198508,-6.93341673802587,-0.182933585944291,0.0287594751003754,"OR"
"ESC","N_97-C_2011",1.20324665967578,-2.17199491636501,4.57848823571657,0.999999675494628,"OR"
"ESC","N_98-C_2011",-2.72764126997969,-6.10288284602047,0.647600306061104,0.258900269587406,"OR"
"ESC","N_99-C_2011",-0.421725714521116,-3.79696729056191,2.95351586151967,1,"OR"
"ESC","N_1-C_2012",1.68497549738913,-1.69017107419839,5.06012206897665,0.980475987865854,"WA"
"ESC","N_10-C_2012",-0.6368758068039,-4.01202237839142,2.73827076478362,1,"WA"
